Manufacturer,Model Year,Regulatory Class,Vehicle Type,Production ,Production Share,MPG (Avg. City/HW),CO2 g/mi (Avg. City/HW),Footprint (sq. ft.)
Ford,1975,Truck,Truck SUV,9,0.001,8.99,988.02,
GM,1975,Truck,Truck SUV,77,0.008,9.94,894.26,
Toyota,1975,Car,Car SUV,6,0.001,10.24,868.00,
Ford,1975,Truck,All Truck,644,0.064,10.67,832.60,
Ford,1975,Truck,Pickup,482,0.048,10.70,830.71,
Ford,1975,Truck,Minivan/Van,153,0.015,10.71,829.41,
Stellantis,1975,Truck,Minivan/Van,178,0.018,10.73,828.33,
All,1975,Truck,Truck SUV,177,0.017,11.02,806.39,
Stellantis,1975,Truck,Pickup,58,0.006,11.08,801.98,
All,1975,Truck,Minivan/Van,457,0.045,11.11,800.19,
All,1975,Car,Car SUV,10,0.001,11.13,798.52,
Stellantis,1975,Truck,All Truck,327,0.032,11.22,791.74,
Ford,1975,All,All,2500,0.249,11.50,772.98,
All,1975,Truck,All Truck,1977,0.193,11.63,763.86,
Ford,1975,Car,All Car,1856,0.185,11.81,752.28,
Ford,1975,Car,Sedan/Wagon,1856,0.185,11.81,752.28,
All,1975,Truck,Pickup,1343,0.131,11.91,745.88,
GM,1975,Truck,All Truck,890,0.089,11.96,743.05,
GM,1975,Truck,Pickup,689,0.069,12.19,728.84,
GM,1975,Truck,Minivan/Van,124,0.012,12.21,727.66,
Stellantis,1975,Car,Car SUV,1,0,12.37,718.29,
Stellantis,1975,Truck,Truck SUV,91,0.009,12.45,713.54,
GM,1975,All,All,4462,0.444,12.66,701.98,
GM,1975,Car,Sedan/Wagon,3569,0.355,12.85,691.76,
GM,1975,Car,All Car,3571,0.355,12.85,691.75,
Stellantis,1975,All,All,1824,0.181,13.01,683.06,
All,1975,All,All,10224,1,13.06,680.60,
GM,1975,Car,Car SUV,3,0,13.24,671.39,
All,1975,Car,All Car,8247,0.807,13.45,660.64,
All,1975,Car,Sedan/Wagon,8237,0.806,13.46,660.47,
Stellantis,1975,Car,All Car,1497,0.149,13.48,659.34,
Stellantis,1975,Car,Sedan/Wagon,1496,0.149,13.48,659.28,
Mazda,1975,Truck,Pickup,4,0,14.37,618.27,
Mazda,1975,Truck,All Truck,4,0,14.37,618.27,
Mazda,1975,All,All,69,0.007,14.57,609.82,
Mazda,1975,Car,Sedan/Wagon,65,0.006,14.59,609.29,
Mazda,1975,Car,All Car,65,0.006,14.59,609.29,
BMW,1975,Car,All Car,20,0.002,14.69,604.82,
BMW,1975,Car,Sedan/Wagon,20,0.002,14.69,604.82,
BMW,1975,All,All,20,0.002,14.69,604.82,
Mercedes,1975,Car,All Car,45,0.005,14.71,623.75,
Mercedes,1975,Car,Sedan/Wagon,45,0.005,14.71,623.75,
Mercedes,1975,All,All,45,0.005,14.71,623.75,
Toyota,1975,Truck,Minivan/Van,1,0,17.46,509.04,
VW,1975,Truck,All Truck,1,0,17.61,504.79,
VW,1975,Truck,Minivan/Van,1,0,17.61,504.79,
Toyota,1975,Truck,All Truck,32,0.003,18.15,489.72,
Toyota,1975,Truck,Pickup,32,0.003,18.16,489.33,
Toyota,1975,All,All,323,0.032,18.40,482.86,
